1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.968800 -0.05906 -0.12146 -0.21388 -0.39017 -0.49774 -0.53825 -0.54302
0.960900 -0.07391 -0.15663 -0.27669 -0.47425 -0.55069 -0.55216 -0.52987
0.953100 -0.08864 -0.19254 -0.33714 -0.52357 -0.55408 -0.52347 -0.49099
0.945300 -0.10313 -0.22847 -0.39188 -0.54053 -0.52876 -0.48590 -0.45863
0.906300 -0.16914 -0.23827 -0.51550 -0.44307 -0.41442 -0.41050 -0.41496
0.859400 -0.22445 -0.44993 -0.42665 -0.37401 -0.36214 -0.36213 -0.36737
0.804700 -0.24533 -0.38598 -0.31966 -0.31184 -0.30018 -0.30448 -0.30719
0.500000 0.054540 0.051860 0.025260 0.009990 0.009450 0.008240 0.008310
0.234400 0.175270 0.301740 0.322350 0.281880 0.272800 0.273480 0.272240
0.226600 0.175070 0.302030 0.330750 0.290300 0.280660 0.281170 0.280030
0.156300 0.160770 0.281240 0.370950 0.371190 0.353680 0.350600 0.350700
0.093800 0.123170 0.229650 0.326270 0.427680 0.429510 0.418240 0.414870
0.078100 0.108900 0.209200 0.303530 0.419060 0.436480 0.435640 0.431240
0.070300 0.100910 0.197130 0.290120 0.409170 0.433270 0.440300 0.437330
0.062500 0.092330 0.183600 0.274850 0.395600 0.424470 0.439790 0.439830
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
