1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000
0.976600 0.841230 0.758370 0.659280 0.532360 0.482230 0.472440 0.472210
0.968800 0.788710 0.684390 0.574920 0.482960 0.461200 0.470480 0.477830
0.960900 0.737220 0.617560 0.511170 0.465470 0.459920 0.473230 0.480700
0.953100 0.687170 0.558920 0.466040 0.461010 0.460360 0.471670 0.478040
0.851600 0.231510 0.290930 0.333040 0.346820 0.335560 0.342280 0.346350
0.734400 0.003320 0.162560 0.187190 0.197910 0.200870 0.205910 0.206730
0.617200 -0.13641 0.021350 0.057020 0.071560 0.081830 0.083420 0.083440
0.500000 -0.20581 -0.11477 -0.06080 -0.04272 -0.03039 -0.03800 0.031110
0.453100 -0.21090 -0.17119 -0.10648 -0.08664 -0.07404 -0.07503 -0.07540
0.281300 -0.15662 -0.32726 -0.27805 -0.24427 -0.22855 -0.23176 -0.23186
0.171900 -0.10150 -0.24299 -0.38289 -0.34323 -0.33050 -0.32393 -0.32709
0.101600 -0.06434 -0.14612 -0.29730 -0.41933 -0.40435 -0.38324 -0.38000
0.070300 -0.04775 -0.10338 -0.22220 -0.37827 -0.43643 -0.43025 -0.41657
0.062500 -0.04192 -0.09266 -0.20196 -0.35344 -0.42901 -0.43590 -0.42537
0.054700 -0.03717 -0.08186 -0.18109 -0.32407 -0.41165 -0.43154 -0.42735 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
